0 8 7 6 5 4 3 2 1 | 2 40319
0 8 7 6 5 4 3 1 2 | 3 21660
0 8 7 6 5 4 2 3 1 | 3 7159
0 8 7 6 5 4 1 3 2 | 4 5611
0 8 7 6 5 4 2 1 3 | 4 5515
0 8 7 6 5 4 1 2 3 | 3 14652
0 8 7 6 5 3 4 2 1 | 3 8428
0 8 7 6 5 3 4 1 2 | 4 5371
0 8 7 6 5 2 4 3 1 | 4 5371
0 8 7 6 5 1 4 3 2 | 4 5587
0 8 7 6 5 2 4 1 3 | 4 5396
0 8 7 6 5 1 4 2 3 | 3 17341
0 8 7 6 5 3 2 4 1 | 4 5389
0 8 7 6 5 3 1 4 2 | 4 5701
0 8 7 6 5 2 3 4 1 | 3 12470
0 8 7 6 5 1 3 4 2 | 3 22282
0 8 7 6 5 2 1 4 3 | 3 6728
0 8 7 6 5 1 2 4 3 | 3 19476
0 8 7 6 5 3 2 1 4 | 4 5365
0 8 7 6 5 3 1 2 4 | 3 13165
0 8 7 6 5 2 3 1 4 | 3 9748
0 8 7 6 5 1 3 2 4 | 3 12760
0 8 7 6 5 2 1 3 4 | 3 18642
0 8 7 6 5 1 2 3 4 | 3 13188
0 8 7 6 4 5 3 2 1 | 3 8180
0 8 7 6 4 5 3 1 2 | 3 20812
0 8 7 6 4 5 2 3 1 | 4 5490
0 8 7 6 4 5 1 3 2 | 3 14556
0 8 7 6 4 5 2 1 3 | 3 13597
0 8 7 6 4 5 1 2 3 | 4 5634
0 8 7 6 3 5 4 2 1 | 4 5275
0 8 7 6 3 5 4 1 2 | 3 7004
0 8 7 6 2 5 4 3 1 | 4 5251
0 8 7 6 1 5 4 3 2 | 4 5563
0 8 7 6 2 5 4 1 3 | 3 13152
0 8 7 6 1 5 4 2 3 | 3 24522
0 8 7 6 3 5 2 4 1 | 4 5269
0 8 7 6 3 5 1 4 2 | 3 23250
0 8 7 6 2 5 3 4 1 | 3 23116
0 8 7 6 1 5 3 4 2 | 4 5719
0 8 7 6 2 5 1 4 3 | 4 5269
0 8 7 6 1 5 2 4 3 | 4 5504
0 8 7 6 3 5 2 1 4 | 3 8169
0 8 7 6 3 5 1 2 4 | 3 21660
0 8 7 6 2 5 3 1 4 | 4 5221
0 8 7 6 1 5 3 2 4 | 3 18653
0 8 7 6 2 5 1 3 4 | 3 11702
0 8 7 6 1 5 2 3 4 | 3 7159
0 8 7 6 4 3 5 2 1 | 4 5394
0 8 7 6 4 3 5 1 2 | 3 12760
0 8 7 6 4 2 5 3 1 | 4 5370
0 8 7 6 4 1 5 3 2 | 3 12884
0 8 7 6 4 2 5 1 3 | 3 6728
0 8 7 6 4 1 5 2 3 | 3 12012
0 8 7 6 3 4 5 2 1 | 3 12733
0 8 7 6 3 4 5 1 2 | 4 5250
0 8 7 6 2 4 5 3 1 | 3 8180
0 8 7 6 1 4 5 3 2 | 3 20483
0 8 7 6 2 4 5 1 3 | 3 32019
0 8 7 6 1 4 5 2 3 | 4 5626
0 8 7 6 3 2 5 4 1 | 3 23250
0 8 7 6 3 1 5 4 2 | 4 5203
0 8 7 6 2 3 5 4 1 | 3 7234
0 8 7 6 1 3 5 4 2 | 4 5323
0 8 7 6 2 1 5 4 3 | 4 5263
0 8 7 6 1 2 5 4 3 | 4 5383
0 8 7 6 3 2 5 1 4 | 4 5239
0 8 7 6 3 1 5 2 4 | 4 5197
0 8 7 6 2 3 5 1 4 | 3 10393
0 8 7 6 1 3 5 2 4 | 4 5318
0 8 7 6 2 1 5 3 4 | 3 14652
0 8 7 6 1 2 5 3 4 | 3 10585
0 8 7 6 4 3 2 5 1 | 4 5392
0 8 7 6 4 3 1 5 2 | 3 10372
0 8 7 6 4 2 3 5 1 | 3 7159
0 8 7 6 4 1 3 5 2 | 4 5470
0 8 7 6 4 2 1 5 3 | 4 5392
0 8 7 6 4 1 2 5 3 | 3 8169
0 8 7 6 3 4 2 5 1 | 3 15411
0 8 7 6 3 4 1 5 2 | 3 6728
0 8 7 6 2 4 3 5 1 | 3 12104
0 8 7 6 1 4 3 5 2 | 3 7800
0 8 7 6 2 4 1 5 3 | 4 5268
0 8 7 6 1 4 2 5 3 | 4 5506
0 8 7 6 3 2 4 5 1 | 3 7114
0 8 7 6 3 1 4 5 2 | 3 17806
0 8 7 6 2 3 4 5 1 | 3 12884
0 8 7 6 1 3 4 5 2 | 3 8545
0 8 7 6 2 1 4 5 3 | 3 30500
0 8 7 6 1 2 4 5 3 | 3 8169
0 8 7 6 3 2 1 5 4 | 4 5215
0 8 7 6 3 1 2 5 4 | 3 29693
0 8 7 6 2 3 1 5 4 | 3 12733
0 8 7 6 1 3 2 5 4 | 3 27293
0 8 7 6 2 1 3 5 4 | 3 9600
0 8 7 6 1 2 3 5 4 | 3 13215
0 8 7 6 4 3 2 1 5 | 4 5364
0 8 7 6 4 3 1 2 5 | 3 24703
0 8 7 6 4 2 3 1 5 | 4 5340
0 8 7 6 4 1 3 2 5 | 3 6960
0 8 7 6 4 2 1 3 5 | 4 5364
0 8 7 6 4 1 2 3 5 | 3 13597
0 8 7 6 3 4 2 1 5 | 3 7000
0 8 7 6 3 4 1 2 5 | 4 5220
0 8 7 6 2 4 3 1 5 | 3 18653
0 8 7 6 1 4 3 2 5 | 3 6810
0 8 7 6 2 4 1 3 5 | 4 5244
0 8 7 6 1 4 2 3 5 | 4 6773
0 8 7 6 3 2 4 1 5 | 4 5238
0 8 7 6 3 1 4 2 5 | 4 5196
0 8 7 6 2 3 4 1 5 | 3 24531
0 8 7 6 1 3 4 2 5 | 4 5316
0 8 7 6 2 1 4 3 5 | 3 8180
0 8 7 6 1 2 4 3 5 | 4 5362
0 8 7 6 3 2 1 4 5 | 4 5214
0 8 7 6 3 1 2 4 5 | 3 13165
0 8 7 6 2 3 1 4 5 | 3 13277
0 8 7 6 1 3 2 4 5 | 4 5314
